kind,model,cv_asymmetric_mse,offset_days,val_asymmetric_mse,val_rmse_days,val_mae_days,val_r2,test_asymmetric_mse,test_rmse_days,test_mae_days,test_r2,val_mean_error_actual_minus_pred,test_mean_error_actual_minus_pred,val_pct_underpredicted,test_pct_underpredicted
model,LightGBM,384.3604071491233,3.8000000000000007,191.496044618512,9.70415700123442,8.003512965590804,-0.024538147777187325,142.89167096168214,10.891908346877912,9.675251971829827,-2.4296008160135663,-5.33026747609895,-9.061855244732518,0.17337607735968047,0.04566953962581459
model,XGBoost,383.83405731211536,3.75,192.0335219187017,9.720142432387782,8.006437844628929,-0.027916323400555276,142.37183516971254,10.883547003743423,9.641655637604853,-2.424337264116424,-5.337066604500631,-9.043496619781736,0.17116880386798403,0.04551187723355056
model,RandomForest,381.3080480210474,3.200000000000001,193.8683035993315,9.77253851292686,8.045996392176857,-0.03902808411315317,142.3091150738905,10.915561181121944,9.721112239172578,-2.4445124103400167,-5.362676033757323,-9.141951509904487,0.17185200756779484,0.04498633592600378
model,LinearSVR,459.4770620709798,6.15,209.8257916791557,10.029920025281436,8.517209859783977,-0.09447903094354615,145.50062564973808,11.099316446291686,10.330830993173942,-2.561460110347873,-5.667138267724747,-9.799789188740881,0.17038049190666385,0.03547403825940719
baseline,Baseline estimate + offset,,-3.5999999999999996,239.59280632338684,11.418360402859708,9.046027737388956,-0.41846948861988875,202.85627811211643,13.144055855292152,10.187237473868919,-3.994527507592167,-6.042014115163618,-8.915206146010947,0.18866932940929157,0.16018499054025648
baseline,Baseline estimate,,0.0,261.11541752578586,13.668996156220565,11.573609319161235,-1.0327583226463157,268.0898909228255,15.808956285685118,13.037217815339382,-6.225069259434968,-9.642014115163617,-12.50097360237642,0.11288627286104688,0.05344755097750683
